geek_rate,title,num_votes,avg_rate,id
6.803,Princes of the Renaissance,1793,7.47,8045
6.803,Mexica,3361,7.18,2955
6.803,Wilderness War,1380,7.74,1822
6.802,Smash Up: Monster Smash,1949,7.48,160018
6.802,Scoville,2875,7.23,145659
6.799,Tammany Hall,2545,7.29,30645
6.791,Churchill,1282,7.77,132018
6.789,A Study in Emerald,2523,7.27,141517
6.789,Roll Through the Ages: The Bronze Age,9956,6.91,37380
6.788,Mr. Jack in New York,2347,7.33,55427
6.787,Vinci,3710,7.13,60
6.786,Legendary Encounters: A Predator Deck Building Game,1410,7.69,174570
6.784,Liar's Dice,9385,6.93,45
6.782,Morels,4418,7.08,122298
6.782,Formula Dé,7081,6.99,173
6.782,Discoveries,2673,7.23,171669
6.782,The Speicherstadt,4056,7.07,66505
6.780,Cribbage,6109,7.01,2398
6.779,"Warhammer 40,000: Conquest",2022,7.49,156776
6.779,History of the World,3958,7.13,224
6.777,Container,3565,7.11,26990
6.777,Forbidden Island,26734,6.86,65244
6.775,Shadowrun: Crossfire,2399,7.32,135382
6.775,Rex: Final Days of an Empire,3222,7.16,104363
6.774,Wir sind das Volk!,1036,7.94,165401
6.773,Wiz-War (eighth edition),3718,7.13,104710
6.772,Ricochet Robots,6271,6.99,51
6.764,6 nimmt!,11653,6.89,432
6.764,Tumblin-Dice,2929,7.17,16747
6.763,First Class: All Aboard the Orient Express,1266,7.71,206941
6.762,Pictomania,1920,7.38,98229
6.762,Mr. Jack Pocket,5118,7.01,72287
6.760,Battle Cry,3200,7.17,551
6.758,Snow Tails,4841,7.00,38054
6.757,Ninjato,2285,7.28,50768
6.755,The Castles of Burgundy: The Card Game,2343,7.27,191977
6.755,Zooloretto,11681,6.88,27588
6.754,HeroQuest,8203,7.02,699
6.753,Level 7 [Omega Protocol],1447,7.59,137649
6.751,Smash Up,15897,6.89,122522
6.750,Vanuatu,2107,7.30,104020
6.749,Lanterns: The Harvest Festival,4314,7.06,160851
6.747,Dungeons & Dragons: Castle Ravenloft Board Game,6889,6.99,59946
6.745,FUSE,2508,7.24,171273
6.745,China,3966,7.03,18100
6.744,Terror in Meeple City,5714,6.96,97903
6.744,1812: The Invasion of Canada,1760,7.40,94246
6.742,Manila,4525,7.01,15817
6.741,Mahjong,4988,7.03,2093
6.740,Zombicide Season 3: Rue Morgue,1330,7.76,161866
6.738,Ultimate Werewolf: Ultimate Edition,3021,7.16,38159
6.733,Metropolys,3585,7.04,25568
6.731,Telestrations: 12 Player Party Pack,1037,7.85,153016
6.730,Catacombs,2737,7.17,57390
6.730,The Rivals for Catan,3668,7.09,66056
6.729,Space Hulk (fourth edition),1005,8.06,165838
6.728,The Oracle of Delphi,1543,7.47,193558
6.728,Planet Steam,2175,7.27,23094
6.728,Fauna,3108,7.10,35497
6.727,Domaine,3856,7.04,5737
6.726,Pathfinder Adventure Card Game: Skull & Shackles – Base Set,1584,7.52,151007
6.721,Manoeuvre,2013,7.30,17396
6.721,Can't Stop,9090,6.86,41
6.720,Valley of the Kings,2565,7.17,150999
6.715,Eight-Minute Empire: Legends,2925,7.11,142326
6.712,Keythedral,2793,7.10,4099
6.710,Caylus Magna Carta,4402,6.97,27364
6.710,Peloponnes,2276,7.18,42910
6.709,Yggdrasil,3086,7.09,71671
6.709,Signorie,1317,7.57,177678
6.708,Black Fleet,2941,7.11,157403
6.707,Loopin' Louie,6612,6.89,327
6.707,Primordial Soup,4239,6.98,124
6.706,The Others,1362,7.76,172047
6.706,Incan Gold,7752,6.86,37759
6.705,Adrenaline,1738,7.39,202408
6.705,Rhino Hero,3328,7.05,91514
6.702,Witch's Brew,3307,7.05,34084
6.701,No Retreat! The Russian Front,1029,7.84,68264
