ID,bookID,chapterInBook,url,title,povID,ChapterRating
115,1,42,/index.php/A_Clash_of_Kings-Chapter_42,Davos II,385,9
116,1,43,/index.php/A_Clash_of_Kings-Chapter_43,Jon V,851,7.17
117,1,44,/index.php/A_Clash_of_Kings-Chapter_44,Tyrion X,1716,7.73
118,1,45,/index.php/A_Clash_of_Kings-Chapter_45,Catelyn VI,287,7
119,1,46,/index.php/A_Clash_of_Kings-Chapter_46,Bran VI,240,8.07
120,1,47,/index.php/A_Clash_of_Kings-Chapter_47,Arya IX,136,8.5
121,1,48,/index.php/A_Clash_of_Kings-Chapter_48,Daenerys IV,352,9.24
122,1,49,/index.php/A_Clash_of_Kings-Chapter_49,Tyrion XI,1716,8.1
123,1,50,/index.php/A_Clash_of_Kings-Chapter_50,Theon IV,1648,6.93
124,1,51,/index.php/A_Clash_of_Kings-Chapter_51,Jon VI,851,7.26
125,1,52,/index.php/A_Clash_of_Kings-Chapter_52,Sansa IV,1530,6.02
126,1,53,/index.php/A_Clash_of_Kings-Chapter_53,Jon VII,851,7.35
127,1,54,/index.php/A_Clash_of_Kings-Chapter_54,Tyrion XII,1716,7.18
128,1,55,/index.php/A_Clash_of_Kings-Chapter_55,Catelyn VII,287,7.53
129,1,56,/index.php/A_Clash_of_Kings-Chapter_56,Theon V,1648,6.6
130,1,57,/index.php/A_Clash_of_Kings-Chapter_57,Sansa V,1530,5.76
131,1,58,/index.php/A_Clash_of_Kings-Chapter_58,Davos III,385,7.92
132,1,59,/index.php/A_Clash_of_Kings-Chapter_59,Tyrion XIII,1716,7.73
133,1,60,/index.php/A_Clash_of_Kings-Chapter_60,Sansa VI,1530,6.74
134,1,61,/index.php/A_Clash_of_Kings-Chapter_61,Tyrion XIV,1716,7.9
135,1,62,/index.php/A_Clash_of_Kings-Chapter_62,Sansa VII,1530,6.5
136,1,63,/index.php/A_Clash_of_Kings-Chapter_63,Daenerys V,352,7.61
137,1,64,/index.php/A_Clash_of_Kings-Chapter_64,Arya X,136,7.1
138,1,65,/index.php/A_Clash_of_Kings-Chapter_65,Sansa VIII,1530,7.39
139,1,66,/index.php/A_Clash_of_Kings-Chapter_66,Theon VI,1648,8.46
140,1,67,/index.php/A_Clash_of_Kings-Chapter_67,Tyrion XV,1716,7.33
141,1,68,/index.php/A_Clash_of_Kings-Chapter_68,Jon VIII,851,8.61
142,1,69,/index.php/A_Clash_of_Kings-Chapter_69,Bran VII,240,8.11
